drug_set,condition_id_norm,label,missing_drug_ids,missing_disease_id,reason
"['CHEBI:134850', 'CHEBI:31749']",UMLS:C1996939,0,[],UMLS:C1996939,missing_disease
"['CHEBI:134850', 'CHEBI:41879']",HP:0002239,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0001166,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0001866,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0002049,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0002243,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0002474,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0003240,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0003785,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0004247,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0004670,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0004966,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0005009,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0005041,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0005044,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0005154,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0005267,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0005298,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0005468,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0005485,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0007263,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0009688,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0010030,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0010602,0,['CHEBI:41879'],,missing_drug
