condition_id_norm,label,drug_set
HP:0002153,0,"['CHEBI:114786', 'CHEBI:26710']"
HP:0100520,0,"['CHEBI:114786', 'CHEBI:26710']"
MONDO:0000465,0,"['CHEBI:114786', 'CHEBI:26710']"
MONDO:0001106,0,"['CHEBI:114786', 'CHEBI:26710']"
MONDO:0001220,0,"['CHEBI:114786', 'CHEBI:26710']"
MONDO:0002476,0,"['CHEBI:114786', 'CHEBI:26710']"
MONDO:0018542,0,"['CHEBI:114786', 'CHEBI:26710']"
UMLS:C0040793,0,"['CHEBI:114786', 'CHEBI:26710']"
HP:0002153,0,"['CHEBI:114786', 'CHEBI:32954']"
HP:0100520,0,"['CHEBI:114786', 'CHEBI:32954']"
MONDO:0000465,0,"['CHEBI:114786', 'CHEBI:32954']"
MONDO:0001106,0,"['CHEBI:114786', 'CHEBI:32954']"
MONDO:0001220,0,"['CHEBI:114786', 'CHEBI:32954']"
MONDO:0002476,0,"['CHEBI:114786', 'CHEBI:32954']"
MONDO:0018542,0,"['CHEBI:114786', 'CHEBI:32954']"
UMLS:C0040793,0,"['CHEBI:114786', 'CHEBI:32954']"
HP:0012390,1,"['CHEBI:116735', 'CHEBI:135611', 'CHEBI:17650', 'CHEBI:31292']"
MONDO:0004872,1,"['CHEBI:116735', 'CHEBI:135611', 'CHEBI:17650', 'CHEBI:31292']"
UMLS:C0033775,1,"['CHEBI:116735', 'CHEBI:135611', 'CHEBI:17650', 'CHEBI:31292']"
MONDO:0004872,1,"['CHEBI:116735', 'CHEBI:135611', 'CHEBI:17650', 'CHEBI:4853']"
UMLS:C0033775,1,"['CHEBI:116735', 'CHEBI:135611', 'CHEBI:17650', 'CHEBI:4853']"
HP:0033050,1,"['CHEBI:116735', 'CHEBI:135611', 'CHEBI:7507', 'UNII:877376V2XW']"
MONDO:0002258,1,"['CHEBI:116735', 'CHEBI:135611', 'CHEBI:7507', 'UNII:877376V2XW']"
MONDO:0006723,1,"['CHEBI:116735', 'CHEBI:135611', 'CHEBI:7507', 'UNII:877376V2XW']"
UMLS:C0555971,1,"['CHEBI:116735', 'CHEBI:135611', 'CHEBI:7507', 'UNII:877376V2XW']"
UMLS:C0729771,1,"['CHEBI:116735', 'CHEBI:135611', 'CHEBI:7507', 'UNII:877376V2XW']"
MONDO:0001039,1,"['CHEBI:116735', 'CHEBI:135611', 'UNII:877376V2XW']"
MONDO:0002258,1,"['CHEBI:116735', 'CHEBI:135611', 'UNII:877376V2XW']"
MONDO:0002508,1,"['CHEBI:116735', 'CHEBI:135611', 'UNII:877376V2XW']"
MONDO:0006723,1,"['CHEBI:116735', 'CHEBI:135611', 'UNII:877376V2XW']"
MONDO:0004872,1,"['CHEBI:116735', 'CHEBI:17650']"
MONDO:0004872,1,"['CHEBI:116735', 'CHEBI:17650', 'CHEBI:28304']"
MONDO:0004872,1,"['CHEBI:116735', 'CHEBI:17650', 'CHEBI:36560']"
MONDO:0002406,1,"['CHEBI:116735', 'CHEBI:17987', 'CHEBI:34393']"
MONDO:0005326,1,"['CHEBI:116735', 'CHEBI:17987', 'CHEBI:34393']"
UMLS:C0006435,1,"['CHEBI:116735', 'CHEBI:17987', 'CHEBI:34393']"
UMLS:C0021564,1,"['CHEBI:116735', 'CHEBI:17987', 'CHEBI:34393']"
UMLS:C1302752,1,"['CHEBI:116735', 'CHEBI:17987', 'CHEBI:34393']"
UMLS:C5437085,1,"['CHEBI:116735', 'CHEBI:17987', 'CHEBI:34393']"
HP:0002013,1,"['CHEBI:116735', 'CHEBI:27796']"
MONDO:0006723,1,"['CHEBI:116735', 'CHEBI:30853', 'CHEBI:3614']"
HP:0000155,1,"['CHEBI:116735', 'CHEBI:31264', 'UNII:877376V2XW']"
MONDO:0001039,1,"['CHEBI:116735', 'CHEBI:31264', 'UNII:877376V2XW']"
MONDO:0006723,1,"['CHEBI:116735', 'CHEBI:31264', 'UNII:877376V2XW']"
MONDO:0006771,1,"['CHEBI:116735', 'CHEBI:31264', 'UNII:877376V2XW']"
MONDO:0021783,1,"['CHEBI:116735', 'CHEBI:31264', 'UNII:877376V2XW']"
UMLS:C0555971,1,"['CHEBI:116735', 'CHEBI:31264', 'UNII:877376V2XW']"
UMLS:C0729771,1,"['CHEBI:116735', 'CHEBI:31264', 'UNII:877376V2XW']"
HP:0002027,1,"['CHEBI:116735', 'CHEBI:32914']"
HP:0033050,1,"['CHEBI:116735', 'CHEBI:32914']"
EFO:0010072,1,"['CHEBI:116735', 'CHEBI:3614']"
HP:0033050,1,"['CHEBI:116735', 'CHEBI:3614']"
MONDO:0001039,1,"['CHEBI:116735', 'CHEBI:3614']"
MONDO:0002258,1,"['CHEBI:116735', 'CHEBI:3614']"
MONDO:0002508,1,"['CHEBI:116735', 'CHEBI:3614']"
MONDO:0004777,1,"['CHEBI:116735', 'CHEBI:3614']"
MONDO:0005113,1,"['CHEBI:116735', 'CHEBI:3614']"
MONDO:0006723,1,"['CHEBI:116735', 'CHEBI:3614']"
MONDO:0017124,1,"['CHEBI:116735', 'CHEBI:3614']"
MONDO:0043653,1,"['CHEBI:116735', 'CHEBI:36560']"
MONDO:0006723,1,"['CHEBI:116735', 'CHEBI:39561', 'UNII:877376V2XW']"
HP:0000989,1,"['CHEBI:116735', 'CHEBI:4636']"
HP:0012531,1,"['CHEBI:116735', 'CHEBI:4636']"
MONDO:0004872,1,"['CHEBI:116735', 'CHEBI:9468']"
MONDO:0005326,1,"['CHEBI:116735', 'CHEBI:9468']"
MONDO:0005480,1,"['CHEBI:116735', 'CHEBI:9468']"
UMLS:C0006435,1,"['CHEBI:116735', 'CHEBI:9468']"
UMLS:C0011593,1,"['CHEBI:116735', 'CHEBI:9468']"
UMLS:C0021564,1,"['CHEBI:116735', 'CHEBI:9468']"
MONDO:0001039,1,"['CHEBI:116735', 'UNII:877376V2XW']"
MONDO:0002258,1,"['CHEBI:116735', 'UNII:877376V2XW']"
MONDO:0002508,1,"['CHEBI:116735', 'UNII:877376V2XW']"
MONDO:0006723,1,"['CHEBI:116735', 'UNII:877376V2XW']"
UMLS:C0555971,1,"['CHEBI:116735', 'UNII:877376V2XW']"
UMLS:C0729771,1,"['CHEBI:116735', 'UNII:877376V2XW']"
UNII:7K28NB895L,1,"['CHEBI:119486', 'CHEBI:31536', 'CHEBI:63717']"
UNII:7K28NB895L,1,"['CHEBI:119486', 'CHEBI:63577', 'CHEBI:63717']"
EFO:0009573,1,"['CHEBI:119915', 'CHEBI:25805']"
MONDO:0007446,1,"['CHEBI:125', 'CHEBI:28304']"
MONDO:0005062,1,"['CHEBI:125354', 'UNII:PVI5M0M1GW']"
MONDO:0009693,1,"['CHEBI:125354', 'UNII:PVI5M0M1GW']"
UMLS:C1698088,1,"['CHEBI:125354', 'UNII:PVI5M0M1GW']"
MONDO:0001711,1,"['CHEBI:12777', 'CHEBI:133538', 'CHEBI:15414', 'CHEBI:15956', 'CHEBI:16414', 'CHEBI:16708', 'CHEBI:16811', 'CHEBI:16828', 'CHEBI:16908', 'CHEBI:17561', 'CHEBI:17895', 'CHEBI:17933', 'CHEBI:18385', 'CHEBI:195544', 'CHEBI:22652', 'CHEBI:26078', 'CHEBI:26709']"
UMLS:C0342951,0,"['CHEBI:12777', 'CHEBI:15940']"
CHEBI:6446,1,"['CHEBI:12777', 'CHEBI:15956', 'CHEBI:16709', 'CHEBI:17154', 'CHEBI:17439', 'CHEBI:17621', 'CHEBI:18145', 'CHEBI:22652', 'CHEBI:27300', 'CHEBI:27373', 'CHEBI:27470', 'CHEBI:45931']"
MONDO:0000755,1,"['CHEBI:12777', 'CHEBI:16709', 'CHEBI:17015', 'CHEBI:17154', 'CHEBI:17439', 'CHEBI:18145', 'CHEBI:18385', 'CHEBI:22652', 'CHEBI:23414', 'CHEBI:27300', 'CHEBI:27470', 'CHEBI:28125', 'CHEBI:28364', 'CHEBI:28741', 'CHEBI:29035', 'CHEBI:32036', 'CHEBI:32599', 'CHEBI:3311', 'CHEBI:36560', 'CHEBI:53470', 'CHEBI:75215', 'CHEBI:7916', 'UNII:SFW1D987QV']"
MONDO:0000755,1,"['CHEBI:12777', 'CHEBI:16709', 'CHEBI:17015', 'CHEBI:17154', 'CHEBI:17439', 'CHEBI:18145', 'CHEBI:18385', 'CHEBI:22652', 'CHEBI:23414', 'CHEBI:27300', 'CHEBI:27470', 'CHEBI:28125', 'CHEBI:28741', 'CHEBI:29035', 'CHEBI:32036', 'CHEBI:32599', 'CHEBI:3311', 'CHEBI:36560', 'CHEBI:53470', 'CHEBI:75215', 'CHEBI:7916', 'DRUGBANK:DB13961', 'UNII:SFW1D987QV']"
MONDO:0004884,1,"['CHEBI:12777', 'CHEBI:16709', 'CHEBI:18145']"
MONDO:0005559,1,"['CHEBI:12777', 'CHEBI:16709', 'CHEBI:18145']"
UMLS:C0852222,1,"['CHEBI:12777', 'CHEBI:16709', 'CHEBI:18145']"
HP:0100513,1,"['CHEBI:12777', 'CHEBI:18145']"
MONDO:0002022,1,"['CHEBI:12777', 'CHEBI:18145']"
MONDO:0002467,1,"['CHEBI:12777', 'CHEBI:18145']"
MONDO:0005328,1,"['CHEBI:12777', 'CHEBI:18145']"
MONDO:0005559,1,"['CHEBI:12777', 'CHEBI:18145']"
MONDO:0007016,1,"['CHEBI:12777', 'CHEBI:18145']"
MONDO:0007016,1,"['CHEBI:12777', 'CHEBI:22652', 'CHEBI:27300']"
MONDO:0009412,1,"['CHEBI:12777', 'CHEBI:22652', 'CHEBI:27300']"
MONDO:0100471,1,"['CHEBI:12777', 'CHEBI:22652', 'CHEBI:27300']"
MONDO:0002476,0,"['CHEBI:12777', 'CHEBI:26709']"
MONDO:0004736,0,"['CHEBI:12777', 'CHEBI:26709']"
MONDO:0009563,0,"['CHEBI:12777', 'CHEBI:26709']"
MONDO:0007016,1,"['CHEBI:12777', 'CHEBI:27300']"
MONDO:0100471,1,"['CHEBI:12777', 'CHEBI:27300']"
UMLS:C1272352,1,"['CHEBI:12777', 'CHEBI:27300']"
CHEBI:18145,0,"['CHEBI:12777', 'CHEBI:28659']"
CHEBI:3311,0,"['CHEBI:12777', 'CHEBI:28659']"
HP:0002918,0,"['CHEBI:12777', 'CHEBI:28659']"
MONDO:0001166,0,"['CHEBI:12777', 'CHEBI:28659']"
MONDO:0001566,0,"['CHEBI:12777', 'CHEBI:28659']"
MONDO:0008171,0,"['CHEBI:12777', 'CHEBI:28659']"
