drug_set,condition_id_norm,label,missing_drug_ids,missing_disease_id,reason
"['CHEBI:15676', 'CHEBI:28304', 'DRUGBANK:DB10548']",HP:0100699,1,['DRUGBANK:DB10548'],,missing_drug
"['CHEBI:15765', 'CHEBI:39585']",MONDO:0005391,1,['CHEBI:39585'],,missing_drug
"['CHEBI:15765', 'CHEBI:39585']",MONDO:0017638,1,['CHEBI:39585'],,missing_drug
"['CHEBI:15765', 'CHEBI:39585', 'CHEBI:4798']",MONDO:0014231,1,['CHEBI:39585'],,missing_drug
"['CHEBI:15765', 'CHEBI:39585', 'CHEBI:4798']",UMLS:C0521984,1,['CHEBI:39585'],,missing_drug
"['CHEBI:15765', 'CHEBI:39585', 'CHEBI:63617']",MONDO:0014231,1,['CHEBI:39585'],,missing_drug
"['CHEBI:15765', 'CHEBI:39585', 'CHEBI:63630']",MONDO:0005180,1,['CHEBI:39585'],,missing_drug
"['CHEBI:15765', 'CHEBI:39585', 'CHEBI:9086']",MONDO:0014231,1,['CHEBI:39585'],,missing_drug
"['CHEBI:15940', 'CHEBI:15956']",UMLS:C0342951,0,[],UMLS:C0342951,missing_disease
"['CHEBI:15940', 'CHEBI:16709']",UMLS:C0342951,0,[],UMLS:C0342951,missing_disease
"['CHEBI:15940', 'CHEBI:17015']",UMLS:C0342951,0,[],UMLS:C0342951,missing_disease
"['CHEBI:15940', 'CHEBI:18067']",UMLS:C0342951,0,[],UMLS:C0342951,missing_disease
"['CHEBI:15940', 'CHEBI:18145']",UMLS:C0342951,0,[],UMLS:C0342951,missing_disease
"['CHEBI:15940', 'CHEBI:18385']",UMLS:C0342951,0,[],UMLS:C0342951,missing_disease
"['CHEBI:15940', 'CHEBI:22652']",UMLS:C0342951,0,[],UMLS:C0342951,missing_disease
"['CHEBI:15940', 'CHEBI:27300']",UMLS:C0342951,0,[],UMLS:C0342951,missing_disease
"['CHEBI:15940', 'CHEBI:27373']",UMLS:C0342951,0,[],UMLS:C0342951,missing_disease
"['CHEBI:15940', 'CHEBI:27470']",UMLS:C0342951,0,[],UMLS:C0342951,missing_disease
"['CHEBI:15940', 'CHEBI:30411']",UMLS:C0342951,0,[],UMLS:C0342951,missing_disease
"['CHEBI:15940', 'CHEBI:94731']",UMLS:C4708664,0,[],UMLS:C4708664,missing_disease
"['CHEBI:15940', 'UNII:JTL8B7TVW7']",UMLS:C0342951,0,['UNII:JTL8B7TVW7'],UMLS:C0342951,missing_drug+missing_disease
"['CHEBI:15948', 'CHEBI:16709', 'CHEBI:17439', 'CHEBI:18145', 'CHEBI:18145', 'CHEBI:27363', 'CHEBI:27470', 'CHEBI:27568', 'UNII:J7WWH9M8QS']",MONDO:0042976,1,['CHEBI:15948'],,missing_drug
"['CHEBI:15956', 'CHEBI:16709', 'CHEBI:17015', 'CHEBI:17268', 'CHEBI:17439', 'CHEBI:18145', 'CHEBI:18385', 'CHEBI:22652', 'CHEBI:23414', 'CHEBI:27300', 'CHEBI:27470', 'CHEBI:28125', 'CHEBI:28364', 'CHEBI:31607', 'CHEBI:35176', 'CHEBI:534', 'DRUGBANK:DB13961']",MONDO:0005929,1,['CHEBI:17268'],MONDO:0005929,missing_drug+missing_disease
"['CHEBI:15956', 'CHEBI:28659']",UMLS:C0573813,0,[],UMLS:C0573813,missing_disease
"['CHEBI:16080', 'CHEBI:49575']",UMLS:C0948391,1,[],UMLS:C0948391,missing_disease
"['CHEBI:16134', 'CHEBI:184335']",MONDO:0002317,1,['CHEBI:16134'],,missing_drug
"['CHEBI:16199', 'CHEBI:16914']",MONDO:0006590,1,[],MONDO:0006590,missing_disease
"['CHEBI:16199', 'CHEBI:16914']",MONDO:0007869,1,[],MONDO:0007869,missing_disease
"['CHEBI:16199', 'CHEBI:16914']",UMLS:C5441647,1,[],UMLS:C5441647,missing_disease
"['CHEBI:16199', 'CHEBI:17650']",UMLS:C4286025,1,[],UMLS:C4286025,missing_disease
"['CHEBI:16199', 'CHEBI:17650']",UMLS:C5441647,1,[],UMLS:C5441647,missing_disease
"['CHEBI:16236', 'CHEBI:184335', 'CHEBI:4470', 'UNII:61ZBX54883']",HP:0012735,1,['UNII:61ZBX54883'],,missing_drug
"['CHEBI:16236', 'CHEBI:184335', 'CHEBI:4470', 'UNII:61ZBX54883']",HP:0033050,1,['UNII:61ZBX54883'],,missing_drug
"['CHEBI:16236', 'CHEBI:30769', 'CHEBI:51380', 'CHEBI:5779', 'UNII:2Y6VQU63E8']",HP:0012735,1,['UNII:2Y6VQU63E8'],,missing_drug
"['CHEBI:16236', 'CHEBI:4470', 'UNII:61ZBX54883']",MONDO:0005607,1,['UNII:61ZBX54883'],,missing_drug
"['CHEBI:16236', 'CHEBI:4470', 'UNII:61ZBX54883']",MONDO:0005709,1,['UNII:61ZBX54883'],,missing_drug
"['CHEBI:16283', 'CHEBI:7916']",UMLS:C0232409,1,[],UMLS:C0232409,missing_disease
"['CHEBI:16283', 'CHEBI:7916']",UMLS:C3854354,1,[],UMLS:C3854354,missing_disease
"['CHEBI:16335', 'DRUGBANK:DB14256', 'UNII:L4EL31FWIL']",UMLS:C0424499,1,[],UMLS:C0424499,missing_disease
"['CHEBI:16336', 'CHEBI:17754', 'UNII:K679OBS311']",UMLS:C0234655,1,[],UMLS:C0234655,missing_disease
"['CHEBI:16336', 'CHEBI:31933']",UMLS:C0339164,1,[],UMLS:C0339164,missing_disease
"['CHEBI:16382', 'CHEBI:17606']",UMLS:C0043250,1,['CHEBI:16382'],,missing_drug
"['CHEBI:16382', 'CHEBI:3614', 'CHEBI:8346']",HP:0000225,1,['CHEBI:16382'],,missing_drug
"['CHEBI:164200', 'CHEBI:34393']",UMLS:C0011593,1,[],UMLS:C0011593,missing_disease
"['CHEBI:16469', 'CHEBI:50742']",UMLS:C0747771,1,[],UMLS:C0747771,missing_disease
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",CHEBI:41922,0,['UNII:2W8I1S6T5L'],,missing_drug
